date,store_ref,product_ref,quantity_sold
2024-05-16,S1,P1,55
2024-05-16,S1,P2,8
2024-05-16,S1,P3,27
2024-05-16,S1,P4,29
2024-05-16,S1,P5,60
2024-05-16,S1,P6,54
2024-05-16,S1,P7,85
2024-05-16,S1,P8,14
2024-05-16,S1,P9,42
2024-05-16,S1,P10,9
2024-05-16,S2,P1,27
2024-05-16,S2,P2,46
2024-05-16,S2,P3,7
2024-05-16,S2,P4,21
2024-05-16,S2,P5,64
2024-05-16,S2,P6,43
2024-05-16,S2,P7,24
2024-05-16,S2,P8,55
2024-05-16,S2,P9,69
2024-05-16,S2,P10,6
2024-05-16,S3,P1,76
2024-05-16,S3,P2,77
2024-05-16,S3,P3,35
2024-05-16,S3,P4,17
2024-05-16,S3,P5,79
2024-05-16,S3,P6,30
2024-05-16,S3,P7,14
2024-05-16,S3,P8,13
2024-05-16,S3,P9,74
2024-05-16,S3,P10,59
2024-05-16,S4,P1,66
2024-05-16,S4,P2,63
2024-05-16,S4,P3,40
2024-05-16,S4,P4,76
2024-05-16,S4,P5,34
2024-05-16,S4,P6,53
2024-05-16,S4,P7,82
2024-05-16,S4,P8,56
2024-05-16,S4,P9,78
2024-05-16,S4,P10,54
2024-05-16,S5,P1,70
2024-05-16,S5,P2,10
2024-05-16,S5,P3,25
2024-05-16,S5,P4,26
2024-05-16,S5,P5,13
2024-05-16,S5,P6,25
2024-05-16,S5,P7,15
2024-05-16,S5,P8,28
2024-05-16,S5,P9,69
2024-05-16,S5,P10,34
2024-05-17,S1,P1,81
2024-05-17,S1,P2,9
2024-05-17,S1,P3,32
2024-05-17,S1,P4,26
2024-05-17,S1,P5,79
2024-05-17,S1,P6,84
2024-05-17,S1,P7,103
2024-05-17,S1,P8,16
2024-05-17,S1,P9,37
2024-05-17,S1,P10,10
2024-05-17,S2,P1,30
2024-05-17,S2,P2,54
2024-05-17,S2,P3,9
2024-05-17,S2,P4,26
2024-05-17,S2,P5,83
2024-05-17,S2,P6,54
2024-05-17,S2,P7,27
2024-05-17,S2,P8,74
2024-05-17,S2,P9,83
2024-05-17,S2,P10,7
2024-05-17,S3,P1,87
2024-05-17,S3,P2,67
2024-05-17,S3,P3,41
2024-05-17,S3,P4,19
2024-05-17,S3,P5,111
2024-05-17,S3,P6,40
2024-05-17,S3,P7,19
2024-05-17,S3,P8,17
2024-05-17,S3,P9,103
2024-05-17,S3,P10,58
2024-05-17,S4,P1,86
2024-05-17,S4,P2,82
2024-05-17,S4,P3,70
2024-05-17,S4,P4,86
2024-05-17,S4,P5,49
2024-05-17,S4,P6,65
2024-05-17,S4,P7,103
2024-05-17,S4,P8,73
2024-05-17,S4,P9,93
2024-05-17,S4,P10,61
2024-05-17,S5,P1,67
2024-05-17,S5,P2,11
2024-05-17,S5,P3,29
2024-05-17,S5,P4,42
2024-05-17,S5,P5,14
2024-05-17,S5,P6,31
2024-05-17,S5,P7,14
2024-05-17,S5,P8,33
2024-05-17,S5,P9,72
2024-05-17,S5,P10,46
2024-05-18,S1,P1,98
2024-05-18,S1,P2,11
2024-05-18,S1,P3,37
2024-05-18,S1,P4,37
2024-05-18,S1,P5,102
2024-05-18,S1,P6,94
2024-05-18,S1,P7,108
2024-05-18,S1,P8,21
2024-05-18,S1,P9,60
2024-05-18,S1,P10,12
2024-05-18,S2,P1,39
2024-05-18,S2,P2,73
2024-05-18,S2,P3,12
2024-05-18,S2,P4,39
2024-05-18,S2,P5,89
2024-05-18,S2,P6,72
2024-05-18,S2,P7,35
2024-05-18,S2,P8,91
2024-05-18,S2,P9,107
2024-05-18,S2,P10,9
2024-05-18,S3,P1,118
2024-05-18,S3,P2,88
2024-05-18,S3,P3,41
2024-05-18,S3,P4,28
2024-05-18,S3,P5,127
2024-05-18,S3,P6,46
2024-05-18,S3,P7,21
2024-05-18,S3,P8,21
2024-05-18,S3,P9,100
2024-05-18,S3,P10,85
2024-05-18,S4,P1,104
2024-05-18,S4,P2,82
2024-05-18,S4,P3,76
2024-05-18,S4,P4,125
2024-05-18,S4,P5,50
2024-05-18,S4,P6,79
2024-05-18,S4,P7,114
2024-05-18,S4,P8,78
2024-05-18,S4,P9,117
2024-05-18,S4,P10,86
2024-05-18,S5,P1,87
2024-05-18,S5,P2,14
